newid,ind,hsize,hsize1,relationship,date,sex,age,marital,migrant,migrant_any,village,madrasa,madrasa_year,school,student,currgrade,maxgrade,paeduc,maeduc,ill,disable,disable_perm,hrelig,religious,jumma,waqt,wrkstat,mo_remit,occ1,hrs_wk1,days_wk1,mo_yr1,tenure1,mo_wageinc1,mo_nonwageinc1,occ2,hrs_wk2,days_wk2,mo_yr2,tenure2,mo_wageinc2,mo_nonwageinc2,microf,microf_name1,microf_name2,microf_name3,mo_microf,microloan_curr1,microloan_curr2,curr_mig,migr_perm,migrcurr_dur,migrcurr_country,migrcurr_occ,migrcurr_inc,migrcurr_hrswk,migrcurr_remmo,migr1_dur,migr1_country,migr1_occ,migr1_inc,migr1_hrswk,migr1_remmo,happy,happy_future,wwactivities,ystrhappy,ystrworry,ystrdepress,satcur_livstandard,satcur_health,satcur_achieve,satcur_fam,satcur_safe,satcur_comm,satcur_finsec,satcur_leistime,satcur_socenv,satcur_job,cur_overworked,curtrust_employer,curtrust_coworker,sat5yr_livstandard,sat5yr_health,sat5yr_achieve,sat5yr_fam,sat5yr_safe,sat5yr_comm,sat5yr_finsec,sat5yr_leistime,sat5yr_socenv,sat5yr_job,overworked_5yr,trust_neighb_5yr,trust_locgov_5yr,trust_employer_5yr,trust_religlead_5yr,trust_coworker_5yr,trust_relatives_5yr,status_prof,relfinan_profession,relfinan_siblings,relfinan_schoolmates,relfinan_neighbors,relfinan_parents,relfinan_extendedfam,relfinan_others,happy_past,curtrust_neighb,curtrust_locgov,curtrust_religlead,curtrust_relatives,global_stat_perc,ownhouse,housetype,cookroom,mainrooms,othrooms,bath_flush,bath_pitlat,bath_bucket,bath_hanging,hhactivity1,hhactivity2,hhactivity3,hhincsource1,hhincsource2,hhincsource3,land_ownop,land_rentedout,land_notown,drinkwater1,drinkwater2,washwater1,washwater2,light1,light2,light3,cookfuel1,cookfuel2,cookfuel3,electricity,naturalgas,generator,phone,cow,chicken,duck,buffalo,goat_sheep,helpers,nonwage_farm,nonwage_nonfarm,govttransfer,other_inc,currinc_2yrsago,currinc_2yrafter,exp_groc,exp_util,exp_hrent,exp_hrelated,exp_school,exp_health,exp_cloth,exp_transport,exp_furniture,exp_recreat,exp_eid,exp_tax,exp_mo,wedding,cost_wedding,birth,cost_birth,death,cost_death,medical,cost_medical,migration_rel,cost_migr,event_other,cost_other,own_weaving1,own_weaving2,own_weaving2flag,own_weaving3,own_weaving4,own_house1,own_house2,own_house2flag,own_house3,own_house4,own_computer1,own_computer2,own_computer2flag,own_computer3,own_computer4,own_cell1,own_cell2,own_cell2flag,own_cell3,own_cell4,own_generator1,own_generator2,own_generator2flag,own_generator3,own_generator4,own_car1,own_car2,own_car2flag,own_car3,own_car4,own_boatp1,own_boatp2,own_boatp2flag,own_boatp3,own_boatp4,own_boatr1,own_boatr2,own_boatr2flag,own_boatr3,own_boatr4,own_rickshaw1,own_rickshaw2,own_rickshaw2flag,own_rickshaw3,own_rickshaw4,own_bicycle1,own_bicycle2,own_bicycle2flag,own_bicycle3,own_bicycle4,own_cart1,own_cart2,own_cart2flag,own_cart3,own_cart4,own_almirah1,own_almirah2,own_almirah2flag,own_almirah3,own_almirah4,own_tractor1,own_tractor2,own_tractor2flag,own_tractor3,own_tractor4,own_television1,own_television2,own_television2flag,own_television3,own_television4,own_fridge1,own_fridge2,own_fridge2flag,own_fridge3,own_fridge4,own_bike1,own_bike2,own_bike2flag,own_bike3,own_bike4,madrasa_binary,day,dayofweek
1000,0,4,4,"Householdhead","26/6/13","Male",35,"Married","Non","No migrants","Roail","0",0,0,"No",.n,0,0,0,"No","No",.n,"Muslim","Moderate","Irregular",0,"Employed",.n,"Weaving",8,6,12,20,6000,.c,.m,.c,.c,.c,.c,.n,.n,"Yes",.m,.n,.n,240,28000,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Satisfied",.m,"Satisfied","Not at all","Somewhat","Not much","Somewhat unsatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Y",.m,.m,"Same","Same","Same","Same","Same","Same","Worse","Same","Same","Same","Y","Y","Y",.m,"Y",.m,"Y",4,"Same","Same","Worse","Higher",.m,.m,.m,"Worse","Yes","Yes","Yes","Yes",4,"Owned","Kacha","Y",2,0,0,1,0,0,"Manufacture","Manufacture",.n,"Manufacture","Manufacture",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,0,0,0,0,0,0,0,0,600,"Same",.m,6000,300,0,0,0,400,300,0,0,0,2000,0,6000,0,.n,0,.n,0,.n,0,.n,0,.n,0,.n,"N",.n,"",.n,.n,"O",.x,"Y",.n,.n,"N",.n,"",.n,.n,"O",2007,"",1000,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",.x,"Y",.n,.n,"N",.n,"",.n,.n,"A",.n,"",.n,.n,"A",.n,"",.n,.n,"N",.n,"",.n,.n,1,7,5
100,0,2,2,"Householdhead","24/6/13","Male",57,"Married","Non","No migrants","Shatihati","0",0,12,"No",.n,12,0,0,"No","No",.n,"Muslim","Moderate","Regular",1,"Employed",.n,"Teacher",7,6,10,27,4900,1000,.m,.c,.c,.c,.c,.n,.n,.m,".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Quite satisfied","Worse","Satisfied","Somewhat","Not at all","Not at all","Completely Satisfied","Not at all satisfied","Satisfied","Satisfied","Completely satisfied","Satisfied","Not at all satisfied","Satisfied","Satisfied","Satisfied","N","Y","Y","Same","Same","Same","Same","Same","Same","Same","Same","Same","Same","N","Y","Y","Y","Y","Y","Y",9,"Same","Higher","Same","Same","Higher","Higher",.m,"Worse","Yes","Yes","Yes","Yes",9,"Owned","Semi-pucca","Y",1,1,0,1,0,0,"Service","Service",.n,"Service","Service",.n,0,0,0,"Tube Well",.m,"Pond",.m,"Kerosense",.m,.m,"Firewood",.m,.m,"N","N","N","Y",0,0,0,0,0,0,0,0,0,0,"Same","Same",2500,100,.m,.m,.m,1000,300,.m,.m,200,1000,75,6500,0,.n,0,.n,0,.n,0,.n,0,.n,0,.n,"N",.n,"",.n,.n,"O",.x,"Y",300000,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,5,3
1001,0,7,5,"Householdhead","26/6/13","Male",60,"Married","Non","International migrants","Roail","0",0,0,"No",.n,0,0,0,"No","No",.n,"Muslim","Moderate","Regular",3,"Unemployed",.n,.n,.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Completely satisfied","Better","Completely satisfied","Somewhat","Not much","Not much","Completely Satisfied","Somewhat unsatisfied","Satisfied","Satisfied","Satisfied","Completely satisfied","Satisfied","Satisfied","Satisfied",.m,.m,.m,.m,"Worse","Better","Same","Same","Same","Same","Same","Same","Same",.m,.m,"Y","Y",.m,"Y",.m,"Y",,.m,"Higher",.m,"Same","Higher",.m,.m,"Worse","Yes","Yes","Yes","Yes",.m,"Owned","Semi-pucca","Y",2,0,0,1,0,0,"Service","Service",.n,"Remittance","Remittance",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,0,0,0,0,0,0,0,0,0,"Higher","Higher",4000,250,0,0,0,1000,500,0,0,150,20000,50,20000,0,.n,0,.n,0,.n,0,.n,0,.n,0,.n,"N",.n,"",.n,.n,"O",2009,"",200000,"Y","N",.n,"",.n,.n,"O",2012,"",1500,"Y","N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2013,"",800,"Y","A",.n,"",.n,.n,"N",.n,"",.n,.n,1,7,5
1002,0,4,3,"Householdhead","26/6/13","Female",36,"Married","Non","International migrants","Roail","0",0,5,"No",.n,5,5,0,"No","No",.n,"Muslim","Very","Regular",5,"Unemployed",.n,.n,.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Completely satisfied","Better","Completely satisfied","All day","Not at all","Quite a bit","Completely Satisfied","Satisfied","Completely Satisfied","Completely satisfied","Completely satisfied","Completely satisfied","Completely satisfied","Completely Satisfied",.m,.m,"Y","Y","Y","Worse","Worse","Worse","Worse","Worse","Worse","Worse","Worse","Worse",.m,"N","Y","Y",.m,"Y",.m,"Y",,.m,"Higher",.m,"Higher","Higher",.m,.m,"Worse","Yes",.m,.m,"Yes",.m,"Owned","Semi-pucca","Y",3,0,0,1,0,0,"Service","Service",.n,"Remittance","Remittance",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,0,0,0,0,0,0,0,0,0,"Higher",.m,6000,500,0,0,15000,1000,1000,1000,31000,200,50000,150,20000,0,.n,0,.n,0,.n,0,.n,0,.n,0,.n,"N",.n,"",.n,.n,"O",1993,"",200000,"Y","N",.n,"",.n,.n,"O",2007,"",20000,"Y","N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2009,"",3000,"Y","N",.n,"",.n,.n,"O",2006,"",5000,"Y","N",.n,"",.n,.n,"O",2010,"",1000,"Y","O",2011,"",20000,"Y","O",2013,"",10000,"Y",1,7,5
1003,0,2,2,"Householdhead","26/6/13","Male",25,"Single","Non","No migrants","Roail","0",0,5,"No",.n,5,5,0,"No","No",.n,"Muslim","Moderate","Irregular",0,"Employed",.n,"Weaving",8,6,12,8,4000,.c,.m,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Somewhat unsatisfied","Better","Satisfied","All day","Not at all","Not at all","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat unsatisfied",.m,.m,"Y","Same","Same","Same","Same","Same","Same","Same","Same","Same","Same",.m,"Y","Y",.m,"Y","Y","Y",3,"Worse","Worse","Worse","Same",.m,"Worse",.m,"Same","Yes","Yes","Yes","Yes",3,"Owned","Kacha","Y",1,0,0,1,0,0,"Manufacture","Manufacture",.n,"Manufacture","Manufacture",.n,1,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,0,0,0,0,0,0,0,0,0,"Lower","Higher",3000,150,0,500,0,700,200,0,0,200,700,20,5000,0,.n,0,.n,0,.n,0,.n,0,.n,0,.n,"N",.n,"",.n,.n,"O",2008,"",.m,.m,"N",.n,"",.n,.n,"O",2009,"",1000,.m,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2003,"",2000,.m,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,7,5
1004,0,2,2,"Householdhead","26/6/13","Male",28,"Single","Non","No migrants","Roail","0",0,0,"No",.n,0,0,0,"Yes","No",.n,"Muslim","Moderate","Irregular",0,"Employed",.n,"Weaving",8,6,12,12,6000,.c,.m,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Somewhat unsatisfied","Better","Somewhat unsatisfied","Not at all","All day","Not at all","Somewhat unsatisfied","Somewhat unsatisfied","Somewhat unsatisfied","Satisfied","Satisfied","Quite satisfied","Somewhat unsatisfied","Satisfied","Somewhat unsatisfied","Satisfied","N",.m,"Y","Better","Better","Better","Same","Better","Same","Better","Better","Better","Better","N","Y","Y",.m,"Y","Y","Y",5,"Worse","Worse",.m,"Same",.m,.m,.m,"Same","Yes","Yes","Yes","Yes",5,"Owned","Kacha","Y",1,0,0,1,0,0,"Manufacture","Manufacture",.n,"Manufacture","Manufacture",.n,25,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,0,0,0,0,0,0,0,0,0,"Higher","Higher",3600,120,0,0,0,1000,0,0,0,0,6000,50,6000,0,.n,0,.n,0,.n,1,20000,0,.n,0,.n,"N",.n,"",.n,.n,"O",2005,"",25000,.n,"N",.n,"",.n,.n,"O",2010,"",800,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,7,5
1005,0,5,5,"Householdhead","26/6/13","Male",42,"Married","Non","No migrants","Roail","0",0,3,"No",.n,3,0,0,"No","No",.n,"Muslim","Moderate","Regular",3,"Self-Employed",.n,.m,8,7,12,25,8000,.c,.m,.c,.c,.c,.c,.n,.n,"Yes","Grameen Bank",.n,.n,12,59000,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Somewhat unsatisfied","Better","Satisfied","All day","Not much","Not at all","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","N",.m,.m,"Better","Better","Better","Same","Same","Better","Better","Better","Better","Better","N","Y","Y",.m,"Y",.m,"Y",5,"Same","Worse",.m,"Same","Worse",.m,.m,"Better","Yes","Yes","Yes","Yes",5,"Owned","Semi-pucca","Y",2,1,0,1,0,0,"Service","Service",.n,"Service","Service",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",0,7,0,0,0,0,0,0,0,0,"Same","Higher",2000,400,0,0,500,1000,500,200,0,0,5000,50,8000,0,.n,0,.n,0,.n,0,.n,1,3000,0,.n,"N",.n,"",.n,.n,"O",.x,"Y",.n,.n,"N",.n,"",.n,.n,"O",2009,"",1000,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2001,"",2000,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"A",.n,"",.n,.n,"N",.n,"",.n,.n,1,7,5
1006,0,1,1,"Householdhead","26/6/13","Female",48,"Married","Non","No migrants","Shatihati","0",0,0,"No",.n,0,0,0,"No","No",.n,"Muslim","Very","Regular",3,"Employed",.n,"Cultivation of own land",.c,.c,2,.c,.n,.n,.m,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Satisfied","Better","Satisfied","Not at all","All day","All day","Satisfied","Satisfied","Somewhat unsatisfied",.m,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","N",.m,.m,"Better","Better","Better",.m,"Better","Better","Better","Better","Same",.m,"Y","Y",.m,"Y",.m,"Y","Y",,.m,.m,.m,.m,.m,.m,.m,"Same","Yes","Yes","Yes","Yes",.m,"Others","Kacha","N",1,0,0,0,0,1,"Manufacture","Manufacture",.n,"Manufacture","Manufacture",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Kerosense",.m,.m,"Firewood","Dung/leaves/straw",.m,"N","N","N","N",0,0,0,0,0,0,0,0,0,0,"Same","Higher",400,.m,.m,.m,.m,.m,30,.m,.m,100,,.m,500,.m,.n,.m,.n,.m,.n,.m,.n,.m,.n,.m,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,7,5
1007,0,4,2,"Householdhead","26/6/13","Female",57,"Widowed","Non","Domestic migrants","Shatihati","0",0,0,"No",.n,0,.n,.n,"No","No",.n,"Muslim","Not","Never",5,"Unemployed",.n,"Unemployed",.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Satisfied","Better","Satisfied",.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,"Y","Y",.m,"Y",.m,"Y",,.m,"Worse",.m,"Worse",.m,"Worse",.m,"Better","Yes","Yes","Yes","Yes",.m,"Rented","Kacha","Y",1,0,0,1,0,0,"Service","Service",.n,"Service","Service",.n,0,0,0,"Tube Well",.m,"Tube Well",.m,"Kerosense",.m,.m,"Firewood","Dung/leaves/straw",.m,"N","N","N","Y",0,0,0,0,0,0,0,0,400,0,"Same",.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,,.m,2000,.m,.n,.m,.n,1,3000,.m,.n,.m,.n,.m,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"O",2012,"",300,"Y","N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,7,5
1009,0,5,5,"Householdhead","26/6/13","Male",45,"Married","Non","No migrants","Shatihati","0",0,5,"No",.n,5,.n,.n,"No","No",.n,"Muslim","Very","Regular",5,"Unemployed",.n,"Unemployed",.c,.c,.c,.c,.n,.n,.n,.c,.c,.c,.c,.n,.n,"No",".n",.n,.n,.n,.n,.m,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Satisfied",.m,"Satisfied","Not at all","Somewhat","All day","Satisfied","Satisfied","Satisfied","Satisfied","Not at all satisfied","Satisfied","Somewhat unsatisfied",.m,"Satisfied",.m,.m,.m,.m,"Same",.m,.m,.m,.m,.m,.m,.m,.m,.m,.m,"Y","Y",.m,"Y",.m,"Y",,.m,"Same",.m,"Worse",.m,"Higher",.m,"Worse","Yes","Yes","Yes","Yes",.m,"Owned","Kacha","Y",2,0,0,1,0,0,"Manufacture","Manufacture",.n,"Others","Others",.n,60,0,0,"Tube Well",.m,"Tube Well",.m,"Electricity",.m,.m,"Firewood",.m,.m,"Y","N","N","Y",1,2,0,0,0,0,0,0,0,0,"Higher",.m,2000,.m,.m,.m,500,.m,.m,.m,.m,.m,6000,0,2500,0,.n,1,25000,0,.n,0,.n,0,.n,0,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,"N",.n,"",.n,.n,1,7,5
